Frequency(Hz),   Magnitude(dB)
 5357.161, 122.487579
 5414.164, 122.263229
 5471.774, 122.079163
 5529.997, 121.931320
 5588.839, 121.813744
 5648.308, 121.724792
 5708.409, 121.666275
 5769.150, 121.637009
 5830.538, 121.642380
 5892.578, 121.678925
 5955.279, 121.748039
 6018.646, 121.840057
 6082.688, 121.964279
 6147.412, 122.113007
 6212.824, 122.289795
 6278.932, 122.489029
 6345.744, 122.699890
 6413.267, 122.904846
 6481.507, 123.075699
 6550.475, 123.191902
 6620.176, 123.225166
 6690.619, 123.175278
 6761.811, 123.068726
 6833.760, 122.958923
 6906.476, 122.908180
 6979.965, 122.990219
 7054.236, 123.231804
 7129.297, 123.639679
 7205.157, 124.146988
 7281.825, 124.717453
 7359.308, 125.251053
 7437.615, 125.684441
 7516.756, 125.946854
 7596.739, 126.017517
 7677.572, 125.885925
 7759.267, 125.570068
 7841.830, 125.120865
 7925.271, 124.582504
 8009.601, 124.014923
 8094.828, 123.444931
 8180.962, 122.907143
 8268.013, 122.409546
 8355.989, 121.956398
 8444.902, 121.556709
 8534.761, 121.206787
 8625.576, 120.922791
 8717.357, 120.700157
 8810.115, 120.532974
 8903.860, 120.421974
 8998.603, 120.370117
 9094.354, 120.372925
 9191.123, 120.434837
 9288.922, 120.559151
 9387.762, 120.743286
 9487.653, 120.990456
 9588.607, 121.304718
 9690.636, 121.673622
 9793.750, 122.087891
 9897.962, 122.523529
10003.282, 122.947205
10109.723, 123.306953
10217.297, 123.564079
10326.015, 123.685745
10435.890, 123.653114
10546.934, 123.463593
10659.160, 123.139450
10772.580, 122.718056
10887.206, 122.239044
11003.053, 121.737228
11120.132, 121.238487
11238.457, 120.766975
11358.041, 120.346840
11478.897, 119.980865
11601.040, 119.708618
11724.481, 119.532532
11849.237, 119.463074
11975.320, 119.449036
12102.745, 119.491257
12231.525, 119.587418
12361.677, 119.733231
12493.212, 119.908409
12626.147, 120.078209
12760.497, 120.200005
12896.277, 120.228157
13033.501, 120.142128
13172.186, 119.953217
13312.346, 119.726479
13453.997, 119.547462
13597.155, 119.463844
13741.838, 119.427734
13888.059, 119.358246
14035.836, 119.205284
14185.187, 118.960297
14336.125, 118.658340
14488.670, 118.339417
14642.839, 118.053055
14798.647, 117.816132
14956.113, 117.659271
15115.256, 117.587250
15276.091, 117.603683
15438.638, 117.702713
15602.915, 117.934402
15768.939, 118.409264
15936.730, 119.107399
16106.307, 119.831764
16277.688, 120.444870
16450.893, 120.914444
16625.939, 121.145248
16802.850, 121.004478
16981.643, 120.431335
17162.336, 119.566490
17344.955, 118.619835
17529.516, 117.770584
17716.039, 117.088554
17904.549, 116.612442
18095.064, 116.335968
18287.607, 116.211922
18482.199, 116.170654
18678.859, 116.119049
18877.615, 115.946739
19078.484, 115.543549
19281.490, 114.843834
19486.656, 113.836411
19694.008, 112.611526
19903.563, 111.301453
20115.350, 110.160339
20329.389, 109.458649
20545.705, 109.322121
20764.324, 109.474304
20985.270, 109.498665
21208.564, 109.122131
21434.236, 108.266754
21662.311, 106.997948
21892.811, 105.472549
22125.764, 103.892906
22361.195, 102.413475
22599.131, 101.103378
22839.600, 99.882286
23082.627, 98.557701
23328.240, 96.876740
23576.467, 94.692375
23827.334, 92.828896
